case_type,client_id,client_name,client_email,appointment_datetime,appointment_value,cancellation_time,is_first_offense,subscription_amount,failure_reason,attempt_count,last_charge_date
subscription,SUB015,Manav Shah,manav.shah@example.com,,,,,999,card_expired,2,18-08-26
subscription,SUB016,Myra Thomas,visionarymedia28@gmail.com,,,,,1399,card_expired,3,17-08-26
subscription,SUB017,Yash Malhotra,yash.malhotra@example.com,,,,,749,card_expired,1,16-08-26
subscription,SUB018,Avni Gupta,avni.gupta@example.com,,,,,1049,card_expired,2,15-08-26
subscription,SUB019,Samir Bose,visionarymedia28@gmail.com,,,,,849,card_declined,0,14-08-26
subscription,SUB020,Anika Sen,anika.sen@example.com,,,,,849,insufficient_funds,3,13-08-26
subscription,SUB021,Dev Arora,dev.arora@example.com,,,,,649,card_declined,0,12-08-26
subscription,SUB022,Nisha Menon,animalfpvcam@gmail.com,,,,,949,insufficient_funds,1,11-08-26
subscription,SUB023,Rahul Sethi,rahul.sethi@example.com,,,,,1249,card_expired,2,10-08-26
subscription,SUB024,Priya Dutta,visionarymedia28@gmail.com,,,,,1549,bank_declined,1,09-08-26
subscription,SUB025,Kunal Jain,kunal.jain@example.com,,,,,699,payment_method_failed,0,08-08-26
